orthographe	phonetique
calasse	kalas
calassent	kalas
calasses	kalas
calassiez	kalasje
calassions	kalasjN
calcaire	kalkER
calcaires	kalkER
calcifia	kalsifja
calcifiai	kalsifjE
calcifiaient	kalsifjE
calcifiais	kalsifjE
calcifiait	kalsifjE
calcifiant	kalsifjA
calcifias	kalsifja
calcifiasse	kalsifjas
calcifiassent	kalsifjas
calcifiasses	kalsifjas
calcifiassiez	kalsifjasje
calcifiassions	kalsifjasjN
calcifie	kalsifi
calcifient	kalsifi
calcifier	kalsifje
calcifiera	kalsifiRa
calcifierai	kalsifiRe
calcifieraient	kalsifiRE
calcifierais	kalsifiRE
calcifierait	kalsifiRE
calcifieras	kalsifiRa
calcifierez	kalsifiRe
calcifieriez	kalsifiRje
calcifierions	kalsifiRjN
calcifierons	kalsifiRN
calcifieront	kalsifiRN
calcifies	kalsifi
calcifiez	kalsifje
calcifiiez	kalsifije
calcifiions	kalsifijN
calcifions	kalsifjN
calcifiâmes	kalsifjam
calcifiât	kalsifja
calcifiâtes	kalsifjat
calcifièrent	kalsifjER
calcifié	kalsifje
calcifiée	kalsifje
calcifiées	kalsifje
calcifiés	kalsifje
calcina	kalsina
calcinai	kalsine
calcinaient	kalsinE
calcinais	kalsinE
calcinait	kalsinE
calcinant	kalsinA
calcinas	kalsina
calcinasse	kalsinas
calcinassent	kalsinas
calcinasses	kalsinas
calcinassiez	kalsinasje
calcinassions	kalsinasjN
calcination	kalsinasjN
calcinations	kalsinasjN
calcine	kalsin
calcinent	kalsin
calciner	kalsine
calcinera	kalsin@Ra
calcinerai	kalsin@Re
calcineraient	kalsin@RE
calcinerais	kalsin@RE
calcinerait	kalsin@RE
calcineras	kalsin@Ra
calcinerez	kalsin@Re
calcineriez	kalsin@Rje
calcinerions	kalsin@RjN
calcinerons	kalsin@RN
calcineront	kalsin@RN
calcines	kalsin
calcinez	kalsine
calciniez	kalsinje
calcinions	kalsinjN
calcinons	kalsinN
calcinâmes	kalsinam
calcinât	kalsina
calcinâtes	kalsinat
calcinèrent	kalsinER
calciné	kalsine
calcinée	kalsine
calcinées	kalsine
calcinés	kalsine
calcium	kalsjOm
calciums	kalsjOm
calcul	kalkyl
calcula	kalkyla
calculable	kalkylabl
calculables	kalkylabl
calculai	kalkyle
calculaient	kalkylE
calculais	kalkylE
calculait	kalkylE
calculant	kalkylA
calculas	kalkyla
calculasse	kalkylas
calculassent	kalkylas
calculasses	kalkylas
calculassiez	kalkylasje
calculassions	kalkylasjN
calculateur	kalkylat9R
calculateurs	kalkylat9R
calculatrice	kalkylatRis
calculatrices	kalkylatRis
calcule	kalkyl
calculent	kalkyl
calculer	kalkyle
calculera	kalkyl@Ra
calculerai	kalkyl@Re
calculeraient	kalkyl@RE
calculerais	kalkyl@RE
calculerait	kalkyl@RE
calculeras	kalkyl@Ra
calculerez	kalkyl@Re
calculeriez	kalkyl@Rje
calculerions	kalkyl@RjN
calculerons	kalkyl@RN
calculeront	kalkyl@RN
calcules	kalkyl
calculette	kalkylEt
calculettes	kalkylEt
calculez	kalkyle
calculiez	kalkylje
calculions	kalkyljN
calculons	kalkylN
calculs	kalkyl
calculâmes	kalkylam
calculât	kalkyla
calculâtes	kalkylat
calculèrent	kalkylER
calculé	kalkyle
calculée	kalkyle
calculées	kalkyle
calculés	kalkyle
cale	kal
calebasse	kal@bas
calebasses	kal@bas
calembour	kalAbuR
calembours	kalAbuR
calendrier	kalAdRije
calendriers	kalAdRije
calent	kal
calepin	kal@pe~
calepins	kal@pe~
caler	kale
calera	kal@Ra
calerai	kal@Re
caleraient	kal@RE
calerais	kal@RE
calerait	kal@RE
caleras	kal@Ra
calerez	kal@Re
caleriez	kal@Rje
calerions	kal@RjN
calerons	kal@RN
caleront	kal@RN
cales	kal
calez	kale
caleçon	kal@sN
caleçons	kal@sN
calfata	kalfata
calfatai	kalfate
calfataient	kalfatE
calfatais	kalfatE
calfatait	kalfatE
calfatant	kalfatA
calfatas	kalfata
calfatasse	kalfatas
calfatassent	kalfatas
calfatasses	kalfatas
calfatassiez	kalfatasje
calfatassions	kalfatasjN
calfate	kalfat
calfatent	kalfat
calfater	kalfate
calfatera	kalfat@Ra
calfaterai	kalfat@Re
calfateraient	kalfat@RE
calfaterais	kalfat@RE
calfaterait	kalfat@RE
calfateras	kalfat@Ra
calfaterez	kalfat@Re
calfateriez	kalfat@Rje
calfaterions	kalfat@RjN
calfaterons	kalfat@RN
calfateront	kalfat@RN
calfates	kalfat
calfatez	kalfate
calfatiez	kalfatje
calfations	kalfatjN
calfatons	kalfatN
calfatâmes	kalfatam
calfatât	kalfata
calfatâtes	kalfatat
calfatèrent	kalfatER
calfaté	kalfate
calfatée	kalfate
calfatées	kalfate
calfatés	kalfate
calfeutra	kalf2tRa
calfeutrai	kalf2tRe
calfeutraient	kalf2tRE
calfeutrais	kalf2tRE
calfeutrait	kalf2tRE
calfeutrant	kalf2tRA
calfeutras	kalf2tRa
calfeutrasse	kalf2tRas
calfeutrassent	kalf2tRas
calfeutrasses	kalf2tRas
calfeutrassiez	kalf2tRasje
calfeutrassions	kalf2tRasjN
calfeutre	kalf2tR
calfeutrent	kalf2tR
calfeutrer	kalf2tRe
calfeutrera	kalf2tR@Ra
calfeutrerai	kalf2tR@Re
calfeutreraient	kalf2tR@RE
calfeutrerais	kalf2tR@RE
calfeutrerait	kalf2tR@RE
calfeutreras	kalf2tR@Ra
calfeutrerez	kalf2tR@Re
calfeutreriez	kalf2tR@Rje
calfeutrerions	kalf2tR@RjN
calfeutrerons	kalf2tR@RN
calfeutreront	kalf2tR@RN
calfeutres	kalf2tR
calfeutrez	kalf2tRe
calfeutriez	kalf2tRije
calfeutrions	kalf2tRijN
calfeutrons	kalf2tRN
calfeutrâmes	kalf2tRam
calfeutrât	kalf2tRa
calfeutrâtes	kalf2tRat
calfeutrèrent	kalf2tRER
calfeutré	kalf2tRe
calfeutrée	kalf2tRe
calfeutrées	kalf2tRe
calfeutrés	kalf2tRe
calibra	kalibRa
calibrai	kalibRe
calibraient	kalibRE
calibrais	kalibRE
calibrait	kalibRE
calibrant	kalibRA
calibras	kalibRa
calibrasse	kalibRas
calibrassent	kalibRas
calibrasses	kalibRas
calibrassiez	kalibRasje
calibrassions	kalibRasjN
calibre	kalibR
calibrent	kalibR
calibrer	kalibRe
calibrera	kalibR@Ra
calibrerai	kalibR@Re
calibreraient	kalibR@RE
calibrerais	kalibR@RE
calibrerait	kalibR@RE
calibreras	kalibR@Ra
calibrerez	kalibR@Re
calibreriez	kalibR@Rje
calibrerions	kalibR@RjN
calibrerons	kalibR@RN
calibreront	kalibR@RN
calibres	kalibR
calibrez	kalibRe
calibriez	kalibRije
calibrions	kalibRijN
calibrons	kalibRN
calibrâmes	kalibRam
calibrât	kalibRa
calibrâtes	kalibRat
calibrèrent	kalibRER
calibré	kalibRe
calibrée	kalibRe
calibrées	kalibRe
calibrés	kalibRe
calice	kalis
calices	kalis
calicot	kaliko
calicots	kaliko
caliez	kalje
calife	kalif
califes	kalif
californien	kalifORnje~
californienne	kalifORnjEn
californiennes	kalifORnjEn
californiens	kalifORnje~
calions	kaljN
call-girl	kOlg9Rl
call-girls	kOlg9Rl
calleuse	kal2z
calleuses	kal2z
calleux	kal2
calligraphie	kaligRafi
calligraphies	kaligRafi
calligraphiquement	kaligRafik@mA
calma	kalma
calmai	kalme
calmaient	kalmE
calmais	kalmE
calmait	kalmE
calmant	kalmA
calmante	kalmAt
calmantes	kalmAt
calmants	kalmA
calmar	kalmaR
calmars	kalmaR
calmas	kalma
calmasse	kalmas
calmassent	kalmas
calmasses	kalmas
calmassiez	kalmasje
calmassions	kalmasjN
calme	kalm
calmement	kalm@mA
calment	kalm
calmer	kalme
calmera	kalm@Ra
calmerai	kalm@Re
calmeraient	kalm@RE
calmerais	kalm@RE
calmerait	kalm@RE
calmeras	kalm@Ra
calmerez	kalm@Re
calmeriez	kalm@Rje
calmerions	kalm@RjN
calmerons	kalm@RN
calmeront	kalm@RN
calmes	kalm
calmez	kalme
calmiez	kalmje
calmions	kalmjN
calmons	kalmN
calmâmes	kalmam
calmât	kalma
calmâtes	kalmat
calmèrent	kalmER
calmé	kalme
calmée	kalme
calmées	kalme
calmés	kalme
calomnia	kalOmnja
calomniai	kalOmnje
calomniaient	kalOmnjE
calomniais	kalOmnjE
calomniait	kalOmnjE
calomniant	kalOmnjA
calomnias	kalOmnja
calomniasse	kalOmnjas
calomniassent	kalOmnjas
calomniasses	kalOmnjas
calomniassiez	kalOmnjasje
calomniassions	kalOmnjasjN
calomnie	kalOmni
calomnient	kalOmni
calomnier	kalOmnje
calomniera	kalOmniRa
calomnierai	kalOmniRe
calomnieraient	kalOmniRE
calomnierais	kalOmniRE
calomnierait	kalOmniRE
calomnieras	kalOmniRa
calomnierez	kalOmniRe
calomnieriez	kalOmniRje
calomnierions	kalOmniRjN
calomnierons	kalOmniRN
calomnieront	kalOmniRN
calomnies	kalOmni
calomnieuse	kalOmnj2z
calomnieusement	kalOmnj2z@mA
calomnieuses	kalOmnj2z
calomnieux	kalOmnj2
calomniez	kalOmnje
calomniiez	kalOmnije
calomniions	kalOmnijN
calomnions	kalOmnjN
calomniâmes	kalOmnjam
calomniât	kalOmnja
calomniâtes	kalOmnjat
calomnièrent	kalOmnjER
calomnié	kalOmnje
calomniée	kalOmnje
calomniées	kalOmnje
calomniés	kalOmnje
calons	kalN
calorie	kalORi
calories	kalORi
calorifique	kalORifik
calorifiques	kalORifik
calorifuge	kalORifyZ
calorifuges	kalORifyZ
calorifère	kalORifER
calorifères	kalORifER
calot	kalo
calots	kalo
calotte	kalOt
calottes	kalOt
calqua	kalka
calquai	kalke
calquaient	kalkE
calquais	kalkE
calquait	kalkE
calquant	kalkA
calquas	kalka
calquasse	kalkas
calquassent	kalkas
calquasses	kalkas
calquassiez	kalkasje
calquassions	kalkasjN
calque	kalk
calquent	kalk
calquer	kalke
calquera	kalk@Ra
calquerai	kalk@Re
calqueraient	kalk@RE
calquerais	kalk@RE
calquerait	kalk@RE
calqueras	kalk@Ra
calquerez	kalk@Re
calqueriez	kalk@Rje
calquerions	kalk@RjN
calquerons	kalk@RN
calqueront	kalk@RN
calques	kalk
calquez	kalke
calquiez	kalkje
calquions	kalkjN
calquons	kalkN
calquâmes	kalkam
calquât	kalka
calquâtes	kalkat
calquèrent	kalkER
calqué	kalke
calquée	kalke
calquées	kalke
calqués	kalke
calvaire	kalvER
calvaires	kalvER
calvitie	kalvisi
calvities	kalvisi
calâmes	kalam
calât	kala
calâtes	kalat
calèche	kalES
calèches	kalES
calèrent	kalER
calé	kale
calédonien	kaledOnje~
calédonienne	kaledOnjEn
calédoniennes	kaledOnjEn
calédoniens	kaledOnje~
calée	kale
calées	kale
calés	kale
camarade	kamaRad
camaraderie	kamaRad@Ri
camaraderies	kamaRad@Ri
camarades	kamaRad
cambiste	kAbist
cambistes	kAbist
cambodgien	kAbOdZje~
cambodgienne	kAbOdZjEn
cambodgiennes	kAbOdZjEn
cambodgiens	kAbOdZje~
cambouis	kAbwi
cambra	kAbRa
cambrai	kAbRe
cambraient	kAbRE
cambrais	kAbRE
cambrait	kAbRE
cambrant	kAbRA
cambras	kAbRa
cambrasse	kAbRas
cambrassent	kAbRas
cambrasses	kAbRas
cambrassiez	kAbRasje
cambrassions	kAbRasjN
cambre	kAbR
cambrent	kAbR
cambrer	kAbRe
cambrera	kAbR@Ra
cambrerai	kAbR@Re
cambreraient	kAbR@RE
cambrerais	kAbR@RE
cambrerait	kAbR@RE
cambreras	kAbR@Ra
cambrerez	kAbR@Re
cambreriez	kAbR@Rje
cambrerions	kAbR@RjN
cambrerons	kAbR@RN
cambreront	kAbR@RN
cambres	kAbR
cambrez	kAbRe
cambriez	kAbRije
cambriola	kAbRijOla
cambriolage	kAbRijOlaZ
cambriolages	kAbRijOlaZ
cambriolai	kAbRijOle
cambriolaient	kAbRijOlE
cambriolais	kAbRijOlE
cambriolait	kAbRijOlE
cambriolant	kAbRijOlA
cambriolas	kAbRijOla
cambriolasse	kAbRijOlas
cambriolassent	kAbRijOlas
cambriolasses	kAbRijOlas
cambriolassiez	kAbRijOlasje
cambriolassions	kAbRijOlasjN
cambriole	kAbRijOl
cambriolent	kAbRijOl
cambrioler	kAbRijOle
cambriolera	kAbRijOl@Ra
cambriolerai	kAbRijOl@Re
cambrioleraient	kAbRijOl@RE
cambriolerais	kAbRijOl@RE
cambriolerait	kAbRijOl@RE
cambrioleras	kAbRijOl@Ra
cambriolerez	kAbRijOl@Re
cambrioleriez	kAbRijOl@Rje
cambriolerions	kAbRijOl@RjN
cambriolerons	kAbRijOl@RN
cambrioleront	kAbRijOl@RN
cambrioles	kAbRijOl
cambrioleur	kAbRijOl9R
cambrioleurs	kAbRijOl9R
cambrioleuse	kAbRijOl2z
cambrioleuses	kAbRijOl2z
cambriolez	kAbRijOle
cambrioliez	kAbRijOlje
cambriolions	kAbRijOljN
cambriolons	kAbRijOlN
cambriolâmes	kAbRijOlam
cambriolât	kAbRijOla
cambriolâtes	kAbRijOlat
cambriolèrent	kAbRijOlER
cambriolé	kAbRijOle
cambriolée	kAbRijOle
cambriolées	kAbRijOle
cambriolés	kAbRijOle
cambrions	kAbRijN
cambrons	kAbRN
cambrure	kAbRyR
cambrures	kAbRyR
cambrâmes	kAbRam
cambrât	kAbRa
cambrâtes	kAbRat
cambrèrent	kAbRER
cambré	kAbRe
cambrée	kAbRe
cambrées	kAbRe
cambrés	kAbRe
cambuse	kAbyz
cambuses	kAbyz
camelot	kam@lo
camelote	kam@lOt
camelotes	kam@lOt
camelots	kam@lo
camembert	kamAbER
camemberts	kamAbER
cameraman	kameRaman
cameramen	kam@RamEn
camerounais	kam@RunE
camerounaise	kam@RunEz
camerounaises	kam@RunEz
camion	kamjN
camioneur	kamjon9R
camioneurs	kamjon9R
camionnage	kamjOnaZ
camionnages	kamjOnaZ
camionnette	kamjOnEt
camionnettes	kamjOnEt
camionneur	kamjOn9R
camionneurs	kamjOn9R
camions	kamjN
camisole	kamizOl
camisoles	kamizOl
camomille	kamOmij
camomilles	kamOmij
camoufla	kamufla
camouflage	kamuflaZ
camouflages	kamuflaZ
camouflai	kamufle
camouflaient	kamuflE
camouflais	kamuflE
camouflait	kamuflE
camouflant	kamuflA
camouflas	kamufla
camouflasse	kamuflas
camouflassent	kamuflas
camouflasses	kamuflas
camouflassiez	kamuflasje
camouflassions	kamuflasjN
camoufle	kamufl
camouflent	kamufl
camoufler	kamufle
camouflera	kamufl@Ra
camouflerai	kamufl@Re
camoufleraient	kamufl@RE
camouflerais	kamufl@RE
camouflerait	kamufl@RE
camoufleras	kamufl@Ra
camouflerez	kamufl@Re
camoufleriez	kamufl@Rje
camouflerions	kamufl@RjN
camouflerons	kamufl@RN
camoufleront	kamufl@RN
camoufles	kamufl
camouflet	kamuflE
camouflets	kamuflE
camouflez	kamufle
camoufliez	kamuflije
camouflions	kamuflijN
camouflons	kamuflN
camouflâmes	kamuflam
camouflât	kamufla
camouflâtes	kamuflat
camouflèrent	kamuflER
camouflé	kamufle
camouflée	kamufle
camouflées	kamufle
camouflés	kamufle
camp	kA
campa	kApa
campagnard	kApanjaR
campagnarde	kApanjaRd
campagnardes	kApanjaRd
campagnards	kApanjaR
campagne	kApanj
campagnes	kApanj
campagnol	kApanjOl
campagnols	kApanjOl
campai	kApe
campaient	kApE
campais	kApE
campait	kApE
campanile	kApanil
campaniles	kApanil
campant	kApA
campas	kApa
campasse	kApas
campassent	kApas
campasses	kApas
campassiez	kApasje
campassions	kApasjN
campe	kAp
campement	kAp@mA
campements	kAp@mA
campent	kAp
camper	kApe
campera	kAp@Ra
camperai	kAp@Re
camperaient	kAp@RE
camperais	kAp@RE
camperait	kAp@RE
camperas	kAp@Ra
camperez	kAp@Re
camperiez	kAp@Rje
camperions	kAp@RjN
camperons	kAp@RN
camperont	kAp@RN
campes	kAp
campeur	kAp9R
campeurs	kAp9R
campeuse	kAp2z
campeuses	kAp2z
campez	kApe
camphre	kAfR
camphres	kAfR
campiez	kApje
camping	kApig
campings	kApig
campions	kApjN
campons	kApN
camps	kA
campus	kApys
campâmes	kApam
campât	kApa
campâtes	kApat
campèrent	kApER
campé	kApe
campée	kApe
campées	kApe
campés	kApe
camée	kame
camées	kame
camélia	kamelja
camélias	kamelja
caméléon	kameleN
caméléons	kameleN
caméra	kameRa
caméraman	kameRaman
caméramans	kameRaman
caméras	kameRa
canadien	kanadje~
canadienne	kanadjEn
canadiennes	kanadjEn
canadiens	kanadje~
canaille	kanaj
canailles	kanaj
canal	kanal
canalisa	kanaliza
canalisai	kanalize
canalisaient	kanalizE
canalisais	kanalizE
canalisait	kanalizE
canalisant	kanalizA
canalisas	kanaliza
canalisasse	kanalizas
canalisassent	kanalizas
canalisasses	kanalizas
canalisassiez	kanalizasje
canalisassions	kanalizasjN
canalisation	kanalizasjN
canalisations	kanalizasjN
canalise	kanaliz
canalisent	kanaliz
canaliser	kanalize
canalisera	kanaliz@Ra
canaliserai	kanaliz@Re
canaliseraient	kanaliz@RE
canaliserais	kanaliz@RE
canaliserait	kanaliz@RE
canaliseras	kanaliz@Ra
canaliserez	kanaliz@Re
canaliseriez	kanaliz@Rje
canaliserions	kanaliz@RjN
canaliserons	kanaliz@RN
canaliseront	kanaliz@RN
canalises	kanaliz
canalisez	kanalize
canalisiez	kanalizje
canalisions	kanalizjN
canalisons	kanalizN
canalisâmes	kanalizam
canalisât	kanaliza
canalisâtes	kanalizat
canalisèrent	kanalizER
canalisé	kanalize
canalisée	kanalize
canalisées	kanalize
canalisés	kanalize
canapé	kanape
canapé-lit	kanapeli
canapés	kanape
canapés-lits	kanapeli
canard	kanaR
canards	kanaR
canari	kanaRi
canaris	kanaRi
canaux	kano
cancan	kAkA
cancans	kAkA
cancer	kAsER
cancers	kAsER
cancre	kAkR
cancrelat	kAkR@la
cancrelats	kAkR@la
cancres	kAkR
cancéreuse	kAseR2z
cancéreuses	kAseR2z
cancéreux	kAseR2
cancérigène	kAseRiZEn
cancérigènes	kAseRiZEn
candeur	kAd9R
candeurs	kAd9R
candidat	kAdida
candidate	kAdidat
candidates	kAdidat
candidats	kAdida
candidature	kAdidatyR
candidatures	kAdidatyR
candide	kAdid
candidement	kAdid@mA
candides	kAdid
candélabre	kAdelabR
candélabres	kAdelabR
canelure	kan@lyR
canelures	kan@lyR
caneton	kan@tN
canetons	kan@tN
canette	kanEt
canettes	kanEt
caniche	kaniS
caniches	kaniS
canicule	kanikyl
canicules	kanikyl
canif	kanif
canifs	kanif
canin	kane~
canine	kanin
canines	kanin
canins	kane~
caniveau	kanivo
caniveaux	kanivo
cannabis	kanabis
canne	kan
canneberge	kan@bERZ
canneberges	kan@bERZ
cannelle	kanEl
cannelles	kanEl
cannelure	kan@lyR
cannelures	kan@lyR
cannes	kan
cannibale	kanibal
cannibales	kanibal
cannibalisme	kanibalism
cannibalismes	kanibalism
canné	kane
cannée	kane
cannées	kane
cannés	kane
canon	kanN
canonique	kanOnik
canoniquement	kanOnik@mA
canoniques	kanOnik
canonisa	kanOniza
canonisai	kanOnize
canonisaient	kanOnizE
canonisais	kanOnizE
canonisait	kanOnizE
canonisant	kanOnizA
canonisas	kanOniza
canonisasse	kanOnizas
canonisassent	kanOnizas
canonisasses	kanOnizas
canonisassiez	kanOnizasje
canonisassions	kanOnizasjN
canonisation	kanOnizasjN
canonisations	kanOnizasjN
canonise	kanOniz
canonisent	kanOniz
canoniser	kanOnize
canonisera	kanOniz@Ra
canoniserai	kanOniz@Re
canoniseraient	kanOniz@RE
canoniserais	kanOniz@RE
canoniserait	kanOniz@RE
canoniseras	kanOniz@Ra
canoniserez	kanOniz@Re
canoniseriez	kanOniz@Rje
canoniserions	kanOniz@RjN
canoniserons	kanOniz@RN
canoniseront	kanOniz@RN
canonises	kanOniz
canonisez	kanOnize
canonisiez	kanOnizje
canonisions	kanOnizjN
canonisons	kanOnizN
canonisâmes	kanOnizam
canonisât	kanOniza
canonisâtes	kanOnizat
canonisèrent	kanOnizER
canonisé	kanOnize
canonisée	kanOnize
canonisées	kanOnize
canonisés	kanOnize
canonnade	kanOnad
canonnades	kanOnad
canonnier	kanOnje
canonniers	kanOnje
canonnière	kanOnjER
canonnières	kanOnjER
canons	kanN
canot	kano
canota	kanOta
canotage	kanOtaZ
canotages	kanOtaZ
canotai	kanOte
canotaient	kanOtE
canotais	kanOtE
canotait	kanOtE
canotant	kanOtA
canotas	kanOta
canotasse	kanOtas
canotassent	kanOtas
canotasses	kanOtas
canotassiez	kanOtasje
canotassions	kanOtasjN
canote	kanOt
canotent	kanOt
canoter	kanOte
canotera	kanOt@Ra
canoterai	kanOt@Re
canoteraient	kanOt@RE
canoterais	kanOt@RE
canoterait	kanOt@RE
canoteras	kanOt@Ra
canoterez	kanOt@Re
canoteriez	kanOt@Rje
canoterions	kanOt@RjN
canoterons	kanOt@RN
canoteront	kanOt@RN
canotes	kanOt
canotez	kanOte
canotier	kanOtje
canotiers	kanOtje
canotiez	kanOtje
canotions	kanOtjN
canotons	kanOtN
canots	kano
canotâmes	kanOtam
canotât	kanOta
canotâtes	kanOtat
canotèrent	kanOtER
canoté	kanOte
canotée	kanOte
canotées	kanOte
canotés	kanOte
canoéiste	kanOeist
canoéistes	kanOeist
canoë	kanOe
canoës	kanOe
cantate	kAtat
cantates	kAtat
cantatrice	kAtatRis
cantatrices	kAtatRis
cantine	kAtin
cantines	kAtin
cantique	kAtik
cantiques	kAtik
canton	kAtN
cantonal	kAtonal
cantonale	kAtonal
cantonales	kAtonal
cantonaux	kAtono
cantonna	kAtOna
cantonnai	kAtOne
cantonnaient	kAtOnE
cantonnais	kAtOnE
cantonnait	kAtOnE
cantonnant	kAtOnA
cantonnas	kAtOna
cantonnasse	kAtOnas
cantonnassent	kAtOnas
cantonnasses	kAtOnas
cantonnassiez	kAtOnasje
cantonnassions	kAtOnasjN
cantonne	kAtOn
cantonnement	kAtOn@mA
cantonnements	kAtOn@mA
cantonnent	kAtOn
cantonner	kAtOne
cantonnera	kAtOn@Ra
cantonnerai	kAtOn@Re
cantonneraient	kAtOn@RE
cantonnerais	kAtOn@RE
cantonnerait	kAtOn@RE
cantonneras	kAtOn@Ra
cantonnerez	kAtOn@Re
cantonneriez	kAtOn@Rje
cantonnerions	kAtOn@RjN
cantonnerons	kAtOn@RN
cantonneront	kAtOn@RN
cantonnes	kAtOn
cantonnez	kAtOne
cantonnier	kAtOnje
cantonniers	kAtOnje
cantonniez	kAtOnje
cantonnions	kAtOnjN
cantonnons	kAtOnN
cantonnâmes	kAtOnam
cantonnât	kAtOna
cantonnâtes	kAtOnat
cantonnèrent	kAtOnER
cantonné	kAtOne
cantonnée	kAtOne
cantonnées	kAtOne
cantonnés	kAtOne
cantons	kAtN
canular	kanylaR
canulars	kanylaR
canyon	kanjN
canyons	kanjN
caoutchouc	kautSu
caoutchoucs	kautSu
caoutchouteuse	kautSut2z
caoutchouteuses	kautSut2z
caoutchouteux	kautSut2
caoutchouté	kaoytSute
caoutchoutée	kaoytSute
caoutchoutées	kaoytSute
caoutchoutés	kaoytSute
cap	kap
capable	kapabl
capables	kapabl
capacité	kapasite
capacités	kapasite
cape	kap
capes	kap
capharnaüm	kafaRnaOm
capharnaüms	kafaRnaOm
capillaire	kapilER
capillaires	kapilER
capillarité	kapilaRite
capillarités	kapilaRite
capitaine	kapitEn
capitaines	kapitEn
capital	kapital
capital-risque	kapitalRisk
capitale	kapital
capitales	kapital
capitalisa	kapitaliza
capitalisai	kapitalize
capitalisaient	kapitalizE
capitalisais	kapitalizE
capitalisait	kapitalizE
capitalisant	kapitalizA
capitalisas	kapitaliza
capitalisasse	kapitalizas
capitalisassent	kapitalizas
capitalisasses	kapitalizas
capitalisassiez	kapitalizasje
capitalisassions	kapitalizasjN
capitalisation	kapitalizasjN
capitalisations	kapitalizasjN
capitalise	kapitaliz
capitalisent	kapitaliz
capitaliser	kapitalize
capitalisera	kapitaliz@Ra
capitaliserai	kapitaliz@Re
capitaliseraient	kapitaliz@RE
capitaliserais	kapitaliz@RE
capitaliserait	kapitaliz@RE
capitaliseras	kapitaliz@Ra
capitaliserez	kapitaliz@Re
capitaliseriez	kapitaliz@Rje
capitaliserions	kapitaliz@RjN
capitaliserons	kapitaliz@RN
capitaliseront	kapitaliz@RN
capitalises	kapitaliz
capitalisez	kapitalize
capitalisiez	kapitalizje
capitalisions	kapitalizjN
capitalisme	kapitalism
capitalismes	kapitalism
capitalisons	kapitalizN
capitaliste	kapitalist
capitalistes	kapitalist
capitalisâmes	kapitalizam
capitalisât	kapitaliza
capitalisâtes	kapitalizat
capitalisèrent	kapitalizER
capitalisé	kapitalize
capitalisée	kapitalize
capitalisées	kapitalize
capitalisés	kapitalize
capitaux	kapito
capiteuse	kapit2z
capiteuses	kapit2z
capiteux	kapit2
capitonna	kapitOna
capitonnai	kapitOne
capitonnaient	kapitOnE
capitonnais	kapitOnE
capitonnait	kapitOnE
capitonnant	kapitOnA
capitonnas	kapitOna
capitonnasse	kapitOnas
capitonnassent	kapitOnas
capitonnasses	kapitOnas
capitonnassiez	kapitOnasje
capitonnassions	kapitOnasjN
capitonne	kapitOn
capitonnent	kapitOn
capitonner	kapitOne
capitonnera	kapitOn@Ra
capitonnerai	kapitOn@Re
capitonneraient	kapitOn@RE
capitonnerais	kapitOn@RE
capitonnerait	kapitOn@RE
capitonneras	kapitOn@Ra
capitonnerez	kapitOn@Re
capitonneriez	kapitOn@Rje
capitonnerions	kapitOn@RjN
capitonnerons	kapitOn@RN
capitonneront	kapitOn@RN
capitonnes	kapitOn
capitonnez	kapitOne
capitonniez	kapitOnje
capitonnions	kapitOnjN
capitonnons	kapitOnN
capitonnâmes	kapitOnam
capitonnât	kapitOna
capitonnâtes	kapitOnat
capitonnèrent	kapitOnER
capitonné	kapitOne
capitonnée	kapitOne
capitonnées	kapitOne
capitonnés	kapitOne
capitula	kapityla
capitulai	kapityle
capitulaient	kapitylE
capitulais	kapitylE
capitulait	kapitylE
capitulant	kapitylA
capitulas	kapityla
capitulasse	kapitylas
capitulassent	kapitylas
capitulasses	kapitylas
capitulassiez	kapitylasje
capitulassions	kapitylasjN
capitulation	kapitylasjN
capitulations	kapitylasjN
capitule	kapityl
capitulent	kapityl
capituler	kapityle
capitulera	kapityl@Ra
capitulerai	kapityl@Re
capituleraient	kapityl@RE
capitulerais	kapityl@RE
capitulerait	kapityl@RE
capituleras	kapityl@Ra
capitulerez	kapityl@Re
capituleriez	kapityl@Rje
capitulerions	kapityl@RjN
capitulerons	kapityl@RN
capituleront	kapityl@RN
capitules	kapityl
capitulez	kapityle
capituliez	kapitylje
capitulions	kapityljN
capitulons	kapitylN
capitulâmes	kapitylam
capitulât	kapityla
capitulâtes	kapitylat
capitulèrent	kapitylER
capitulé	kapityle
capitulée	kapityle
capitulées	kapityle
capitulés	kapityle
caporal	kapORal
caporaux	kapORo
capot	kapo
capota	kapOta
capotai	kapOte
capotaient	kapOtE
capotais	kapOtE
capotait	kapOtE
capotant	kapOtA
capotas	kapOta
capotasse	kapOtas
capotassent	kapOtas
capotasses	kapOtas
capotassiez	kapOtasje
capotassions	kapOtasjN
capote	kapOt
capotent	kapOt
capoter	kapOte
capotera	kapOt@Ra
capoterai	kapOt@Re
capoteraient	kapOt@RE
capoterais	kapOt@RE
capoterait	kapOt@RE
capoteras	kapOt@Ra
capoterez	kapOt@Re
capoteriez	kapOt@Rje
capoterions	kapOt@RjN
capoterons	kapOt@RN
capoteront	kapOt@RN
capotes	kapOt
capotez	kapOte
capotiez	kapOtje
capotions	kapOtjN
capotons	kapOtN
capots	kapo
capotâmes	kapOtam
capotât	kapOta
capotâtes	kapOtat
